Stations,96301,97301,96401,97601,96101,97303,97603,96001,96501,96103,96601,96403,95015,96105,96603
,A 1,DT 1,N 1,C 1,S 1,T 1,C 3,SKP 1,KAN 1,TS 1,CTL 1,N 3,KP 1,TS 3,CTL 3
,,AC,,,,,AC,,,,,,,,
,,X,,,,,,,,,,,,,
Chinchpokli,12:37,…,12:42,12:48,12:54,,13:00,…,13:04,…,13:08,13:12,,13:16,13:20
Currey Road,12:39,…,12:44,12:50,12:56,,13:02,…,13:06,…,13:10,13:14,,13:18,13:22
Parel,12:42,…,12:47,12:53,12:59,,13:05,…,13:09,…,13:13,13:17,,13:21,13:25
Dadar,12:45,12:43,12:50,12:56,13:02,13:05,13:09,13:07,13:13,13:10,13:17,13:21,,13:25,13:29
Matunga,12:48,…,12:53,12:59,13:05,13:09,13:13,…,13:17,…,13:21,13:25,,13:29,13:33
Sion,12:51,…,12:56,13:02,13:08,13:12,13:16,…,13:20,…,13:24,13:28,,13:32,13:36
Kurla,12:55,12:50,13:00,13:06,13:12,13:16,13:20,13:14,13:24,13:17,13:28,13:32,,13:36,13:40
Vidyavihar,12:58,…,13:03,13:09,13:15,13:19,13:23,…,13:27,…,13:31,13:35,,13:39,13:43
Ghatkopar,13:01,12:54,13:06,13:12,13:18,13:22,13:26,13:18,13:30,13:21,13:34,13:38,,13:42,13:46
Vikhroli,13:05,…,13:10,13:16,13:22,13:26,13:30,…,13:34,…,13:38,13:42,,13:46,13:50
Kanjur Marg,13:08,…,13:13,13:19,13:25,13:29,13:33,…,13:38,…,13:42,13:46,,13:50,13:54
Bhandup,13:11,…,13:16,13:22,13:28,13:32,13:36,…,13:41,13:29,13:45,13:49,,13:53,13:57
Nahur,13:14,…,13:19,13:25,13:31,13:35,13:39,…,13:44,…,13:48,13:52,,13:56,14:00
Mulund,13:17,13:06,13:22,13:28,13:34,13:38,13:42,…,13:48,…,13:52,13:56,,14:00,14:04
Thane,13:23,13:12,13:27,13:33,13:39,13:42,13:46,13:34,13:53,13:37,13:58,14:01,14:04,14:06,14:09
Kalva,13:28,…,13:32,13:38,13:44,13:47,13:51,…,13:58,…,,14:06,14:09,,14:14
Mumbra,13:34,…,13:38,13:44,13:50,13:53,13:57,…,14:04,…,,14:12,14:15,,14:20
Diva,13:38,13:23,13:42,13:48,13:54,13:57,14:01,…,14:08,…,,14:16,14:19,,14:24
Kopar,13:43,…,13:47,13:53,13:59,14:02,14:06,…,14:13,…,,14:21,14:24,,14:29
Dombivli,13:46,13:28,13:50,13:57,14:02,14:05,14:09,13:49,14:16,13:53,,14:24,14:27,,14:32
Thakurli,13:50,…,13:54,,14:06,14:09,14:13,…,14:20,…,,14:28,14:31,,14:36
Kalyan,13:56,13:37,14:00,,14:12,14:15,14:19,13:57,14:26,14:02,,14:33,14:38,,14:42
Vithalwadi,,,,,,,14:23,,,14:06,,,,,
Ulhas Nagar,,,,,,,14:26,,,14:09,,,,,
Ambernath,,,,,,,14:32,,,14:14,,,,,
Badlapur,,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,13:41,,,14:16,,,,,,,,14:42,,14:47
Ambivli,,13:44,,,14:19,,,,,,,,14:45,,14:50
Titwala,,13:50,,,14:27,,,,,,,,14:51,,14:57
Khadavli,,13:57,,,,,,,,,,,14:58,,
Vasind,,14:04,,,,,,,,,,,15:05,,
Asangaon,,14:10,,,,,,,,,,,15:11,,
Atgaon,,14:19,,,,,,,,,,,15:20,,
Khardi,,14:29,,,,,,,,,,,15:30,,
Kasara,,14:47,,,,,,,,,,,15:47,,
Stations,95505 AN 11,96317 A 33,95119 S 23,95227 BL 23,97227 PDL 5,97077 K 63,96515 AN 13,97369 T 73,95121 S 25,96013 SKP 11,97079 TK 3,96631 TL 31,97081 K 65,96319 A 35,95229 BL 25
CSMT,13:13,13:15,13:19,13:23,,13:26,13:30,13:38,13:40,,,13:42,13:46,13:50,13:50
Masjid,…,13:18,…,…,,13:29,13:33,13:41,…,,,13:45,13:49,13:53,…
Sandhurst Road,…,13:20,…,…,,13:31,13:35,13:43,…,,,13:47,13:51,13:55,…
Byculla,13:20,13:23,13:26,13:30,,13:34,13:38,13:46,13:47,,,13:50,13:54,13:58,13:57
Chinchpokli,…,13:25,…,…,,13:36,13:40,13:48,…,,,13:52,13:56,14:00,…
Currey Road,…,13:27,…,…,,13:38,13:42,13:50,…,,,13:54,13:58,14:02,…
Parel,…,13:30,…,…,13:35,13:41,13:45,13:53,…,,,13:57,14:01,14:05,…
Dadar,13:26,13:34,13:32,13:36,13:38,13:44,13:48,13:56,13:53,,,14:00,14:04,14:08,14:03
Matunga,…,13:37,…,…,13:42,13:47,13:51,13:59,…,,,14:03,14:07,14:11,…
Sion,…,13:40,…,…,13:45,13:50,13:54,14:02,…,,,14:06,14:10,14:14,…
Kurla,13:33,13:44,13:39,13:43,13:49,13:54,13:58,14:06,14:00,,,14:10,14:14,14:18,14:11
Vidyavihar,…,13:47,…,…,13:52,13:57,14:01,14:09,…,,,14:13,14:17,14:21,…
Ghatkopar,13:37,13:50,13:43,13:47,13:55,14:00,14:04,14:12,14:04,,,14:16,14:20,14:24,14:15
Vikhroli,…,13:54,…,…,13:59,14:04,14:08,14:16,…,,,14:20,14:24,14:28,…
Kanjur Marg,…,13:57,…,…,14:02,14:07,14:11,14:19,…,,,14:23,14:27,14:31,…
Bhandup,13:45,14:00,…,…,14:05,14:10,14:14,14:22,…,,,14:26,14:30,14:34,…
Nahur,…,14:03,…,…,14:08,14:13,14:17,14:25,…,,,14:29,14:33,14:37,…
Mulund,…,14:07,13:55,,14:11,14:16,14:20,14:28,14:16,,,14:32,14:36,14:40,14:27
Thane,13:53,14:12,13:59,14:02,14:17,14:22,14:26,14:34,14:20,,14:33,14:37,14:41,14:45,14:31
Kalva,…,14:17,…,…,14:22,14:27,14:31,,…,,14:38,14:42,14:46,14:50,…
Mumbra,…,14:23,…,…,14:28,14:33,14:37,,…,,14:44,14:48,14:52,14:56,…
Diva,…,14:27,14:10,,14:32,14:37,14:41,,…,,14:48,14:52,14:56,15:00,14:42
Kopar,…,14:32,…,…,14:37,14:42,14:46,,…,,14:53,14:57,15:01,15:05,…
Dombivli,14:09,14:35,14:14,14:17,14:40,14:45,14:49,,14:35,,14:56,15:00,15:04,15:08,14:47
Thakurli,…,14:39,…,…,,14:49,14:53,,…,,15:00,15:04,15:08,15:12,…
Kalyan,14:19,14:47,14:23,14:27,,14:55,15:00,,14:43,,15:06,15:10,15:14,15:18,14:54
Vithalwadi,,14:51,14:27,14:32,,,,,14:47,,,,,15:23,14:59
Ulhas Nagar,,14:54,14:30,14:35,,,,,14:50,,,,,15:26,15:02
Ambernath,,15:00,14:36,14:40,,,,,14:54,,,,,15:31,15:06
Badlapur,,,14:43,14:49,,,,,15:01,,,,,,15:15
Vangani,,,14:51,,,,,,15:09,,,,,,
Shelu,,,14:55,,,,,,15:13,,,,,,
Neral,,,14:59,,,,,,15:17,,,,,,
Bhivpuri Road,,,15:06,,,,,,15:24,,,,,,
Karjat,,,15:14,,,,,,15:35,,,,,,
Palasdhari,,,,,,,,,,15:44,,,,,
Kelavli,,,,,,,,,,15:51,,,,,
Dolavli,,,,,,,,,,15:54,,,,,
Lowjee,,,,,,,,,,15:58,,,,,
Khopoli,,,,,,,,,,16:04,,,,,
Shahad,14:23,,,,,,15:04,,,,,15:14,,,
Ambivli,14:26,,,,,,15:07,,,,,15:17,,,
Titwala,14:32,,,,,,15:13,,,,,15:24,,,
Khadavli,14:39,,,,,,15:20,,,,,,,,
Vasind,14:46,,,,,,15:27,,,,,,,,
Asangaon,14:54,,,,,,15:35,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,97229 DL 25,97371 T 75 X,95909 T 77 AC X,97083 CK 13,96633 TL 33,97085 K 67,96205 BL 27,95413 N 19,97373 T 79 X,97087 K 69,97375 T 81,96321 A 37,97089 K 71 X,95507 AN 15,97091 PK 13
CSMT,13:54,13:58,14:03,,14:07,14:11,14:15,14:17,14:20,14:25,14:29,14:34,14:38,14:42,
Masjid,13:57,14:01,…,,14:10,14:14,14:18,…,14:23,14:28,14:32,14:37,14:41,…,
Sandhurst Road,13:59,14:03,…,,14:12,14:16,14:20,…,14:25,14:30,14:34,14:39,14:43,…,
Byculla,14:02,14:06,14:11,,14:15,14:19,14:23,14:26,14:28,14:33,14:37,14:42,14:46,14:49,
Chinchpokli,14:04,14:08,,,14:17,14:21,14:25,…,14:30,14:35,14:39,14:44,14:48,…,
Currey Road,14:06,14:10,…,,14:19,14:23,14:27,…,14:32,14:37,14:41,14:46,14:50,…,
Parel,14:09,14:13,…,,14:22,14:26,14:30,…,14:35,14:40,14:44,14:49,14:53,…,14:57
Dadar,14:12,14:16,14:20,,14:25,14:29,14:33,14:32,14:38,14:43,14:47,14:52,14:56,14:55,15:00
Matunga,14:15,14:19,…,,14:28,14:32,14:36,…,14:41,14:46,14:50,14:55,14:59,…,15:03
Sion,14:18,14:22,…,,14:31,14:35,14:39,…,14:44,14:49,14:53,14:58,15:02,…,15:06
Kurla,14:22,14:26,14:28,14:29,14:35,14:39,14:43,14:40,14:48,14:53,14:57,15:02,15:06,15:02,15:10
Vidyavihar,14:25,14:29,…,14:33,14:38,14:42,14:46,…,14:51,14:56,15:00,15:05,15:09,…,15:13
Ghatkopar,14:28,14:32,14:32,14:36,14:41,14:45,14:49,14:44,14:54,14:59,15:03,15:08,15:12,15:06,15:16
Vikhroli,14:32,14:36,…,14:40,14:45,14:49,14:53,…,14:58,15:03,15:07,15:12,15:16,…,15:20
Kanjur Marg,14:35,14:39,…,14:43,14:48,14:52,14:56,…,15:01,15:06,15:10,15:15,15:19,…,15:23
Bhandup,14:38,14:42,…,14:46,14:51,14:55,14:59,…,15:04,15:09,15:13,15:18,15:22,…,15:26
Nahur,14:41,14:45,…,14:49,14:54,14:58,15:02,…,15:07,15:12,15:16,15:21,15:25,…,15:29
Mulund,14:44,14:48,…,14:52,14:57,15:01,15:05,14:55,15:10,15:15,15:19,15:24,15:28,15:18,15:32
Thane,14:49,14:54,14:46,14:56,15:01,15:05,15:09,15:00,15:15,15:19,15:25,15:29,15:33,15:21,15:37
Kalva,14:54,,,15:01,15:06,15:10,15:14,…,,15:24,,15:34,15:38,…,15:42
Mumbra,15:00,,,15:07,15:12,15:16,15:20,…,,15:30,,15:40,15:44,…,15:48
Diva,15:04,,,15:11,15:16,15:20,15:24,15:11,,15:34,,15:44,15:48,…,15:52
Kopar,15:09,,,15:16,15:21,15:25,15:29,…,,15:39,,15:49,15:53,…,15:57
Dombivli,15:13,,,15:19,15:24,15:28,15:32,15:16,,15:42,,15:52,15:56,15:37,16:00
Thakurli,,,,15:23,15:28,15:32,15:36,…,,15:46,,15:56,16:00,…,16:04
Kalyan,,,,15:29,15:34,15:38,15:42,15:26,,15:53,,16:02,16:06,15:48,16:10
Vithalwadi,,,,,,,15:47,,,,,16:07,,,
Ulhas Nagar,,,,,,,15:50,,,,,16:10,,,
Ambernath,,,,,,,15:54,,,,,16:15,,,
Badlapur,,,,,,,16:02,,,,,,,,
Vangani,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,,,,15:38,,,15:31,,,,,,15:53,
Ambivli,,,,,15:41,,,15:35,,,,,,15:56,
Titwala,,,,,15:49,,,15:44,,,,,,16:03,
Khadavli,,,,,,,,15:51,,,,,,16:10,
Vasind,,,,,,,,15:58,,,,,,16:17,
Asangaon,,,,,,,,16:04,,,,,,16:25,
Atgaon,,,,,,,,16:13,,,,,,,
Khardi,,,,,,,,16:23,,,,,,,
Kasara,,,,,,,,16:41,,,,,,,
Stations,95123,96409,96323,97093,97377,95231,96207,97095,96635,95005,97231,95721,97097,95611,97233
,S 27,N 21,A 39,K 73,T 83,BL 29,TBL 3,PK 15,TL 35,KP 7,DL 27,K 75,K 77,TL 37,DL 29
,,,,,,,,,,,,15 C,,AC,AC
,,,,,X,,,,,,X,X,,,X
CSMT,14:45,14:46,14:54,14:58,15:02,15:03,,,15:09,15:10,15:13,15:14,15:18,15:19,15:24
Masjid,…,14:49,14:57,15:01,15:05,…,,,15:12,…,15:16,…,15:21,…,15:27
Sandhurst Road,…,14:51,14:59,15:03,15:07,…,,,15:14,…,15:18,…,15:23,…,15:29
Byculla,14:52,14:54,15:02,15:06,15:10,15:11,,,15:17,15:18,15:21,15:22,15:26,15:27,15:32
Chinchpokli,…,14:56,15:04,15:08,15:12,…,,,15:19,…,15:23,…,15:28,…,15:34
Currey Road,…,14:58,15:06,15:10,15:14,…,,,15:21,…,15:25,…,15:30,…,15:36
Parel,…,15:01,15:09,15:13,15:17,…,,15:21,15:25,…,15:29,…,15:33,…,15:39
Dadar,14:58,15:04,15:12,15:16,15:20,15:17,,15:24,15:28,15:24,15:32,15:28,15:36,15:33,15:42
Matunga,…,15:07,15:15,15:19,15:23,…,,15:27,15:31,…,15:35,…,15:39,…,15:45
Sion,…,15:10,15:18,15:22,15:26,…,,15:30,15:34,…,15:38,…,15:42,…,15:48
Kurla,15:05,15:14,15:22,15:26,15:30,15:24,,15:34,15:38,15:32,15:42,15:35,15:46,15:40,15:52
Vidyavihar,…,15:17,15:25,15:29,15:33,…,,15:37,15:41,…,15:45,…,15:49,…,15:55
Ghatkopar,15:09,15:20,15:28,15:32,15:36,15:28,,15:40,15:44,15:36,15:48,15:39,15:52,15:44,15:58
Vikhroli,…,15:24,15:32,15:36,15:40,…,,15:44,15:48,…,15:52,…,15:56,…,16:02
Kanjur Marg,…,15:27,15:35,15:39,15:43,…,,15:47,15:51,…,15:55,…,15:59,…,16:05
Bhandup,…,15:30,15:38,15:42,15:46,…,,15:50,15:54,…,15:58,…,16:02,…,16:08
Nahur,…,15:33,15:41,15:45,15:49,…,,15:53,15:57,…,16:01,…,16:05,…,16:11
Mulund,…,15:36,15:44,15:48,15:52,…,,15:56,16:00,15:48,16:04,…,16:08,…,16:14
Thane,15:25,15:41,15:49,15:53,15:58,15:43,15:58,16:01,16:05,15:52,16:09,15:55,16:13,15:59,16:19
Kalva,…,15:46,15:54,15:58,,…,16:03,16:06,16:10,…,16:14,…,16:18,…,16:24
Mumbra,…,15:52,16:00,16:04,,…,16:09,16:12,16:16,…,16:20,…,16:24,…,16:30
Diva,15:36,15:56,16:04,16:08,,…,16:13,16:16,16:20,…,16:24,…,16:28,…,16:34
Kopar,…,16:01,16:09,16:13,,…,16:18,16:21,16:25,…,16:29,…,16:33,…,16:39
Dombivli,15:41,16:04,16:12,16:16,,15:59,16:21,16:24,16:28,16:08,16:33,16:12,16:36,16:15,16:43
Thakurli,…,16:08,16:16,16:20,,…,16:25,16:28,16:32,…,,…,16:40,…,
Kalyan,15:50,16:14,16:23,16:26,,16:07,16:31,16:34,16:39,16:18,,16:20,16:46,16:24,
Vithalwadi,15:54,,16:27,,,16:11,16:35,,,16:22,,,,,
Ulhas Nagar,15:57,,16:30,,,16:14,16:38,,,16:24,,,,,
Ambernath,16:02,,16:36,,,16:18,16:42,,,16:28,,,,,
Badlapur,16:09,,,,,16:27,16:52,,,16:36,,,,,
Vangani,16:17,,,,,,,,,16:45,,,,,
Shelu,16:21,,,,,,,,,16:49,,,,,
Neral,16:25,,,,,,,,,16:53,,,,,
Bhivpuri Road,16:32,,,,,,,,,17:01,,,,,
Karjat,16:41,,,,,,,,,17:11,,,,,
Palasdhari,,,,,,,,,,17:16,,,,,
Kelavli,,,,,,,,,,17:23,,,,,
Dolavli,,,,,,,,,,17:26,,,,,
Lowjee,,,,,,,,,,17:30,,,,,
Khopoli,,,,,,,,,,17:36,,,,,
Shahad,,16:18,,,,,,,16:43,,,,,16:28,
Ambivli,,16:21,,,,,,,16:46,,,,,16:31,
Titwala,,16:27,,,,,,,16:54,,,,,16:39,
Khadavli,,16:35,,,,,,,,,,,,,
Vasind,,16:43,,,,,,,,,,,,,
Asangaon,,16:49,,,,,,,,,,,,,
Atgaon,,16:58,,,,,,,,,,,,,
Khardi,,17:08,,,,,,,,,,,,,
Kasara,,17:26,,,,,,,,,,,,,
Stations,97379 T 85,96517 AN 17,95125 S 29,97099 PK 17,95233 BL 31,96637 TL 39,97235 DL 31 X,97101 K 79,97381 PT 3 X,96325 TA 1,97237 DL 33,95319 A 41,97105 K 81 X,97383 T 87,95723 K 83 AC X
CSMT,15:28,15:32,15:35,,15:39,15:40,15:45,15:49,,,16:01,16:08,16:05,16:09,16:11
Masjid,15:31,15:35,…,,…,15:43,15:48,15:52,,,16:04,…,16:08,16:12,…
Sandhurst Road,15:33,15:37,…,,…,15:45,15:50,15:54,,,16:06,…,16:10,16:14,…
Byculla,15:36,15:40,15:43,,15:47,15:48,15:53,15:57,,,16:09,16:17,16:13,16:17,16:19
Chinchpokli,15:38,15:42,…,,…,15:50,15:55,15:59,,,16:11,…,16:15,16:19,…
Currey Road,15:40,15:44,…,,…,15:52,15:57,16:01,,,16:13,…,16:17,16:21,…
Parel,15:43,15:47,…,15:50,…,15:55,16:00,16:04,16:09,,16:16,16:23,16:20,16:24,…
Dadar,15:46,15:50,15:50,15:53,15:54,15:58,16:03,16:07,16:12,,16:19,16:26,16:23,16:27,16:27
Matunga,15:49,15:53,…,15:56,…,16:01,16:06,16:10,16:15,,16:22,16:29,16:26,16:30,…
Sion,15:52,15:56,…,15:59,…,16:04,16:09,16:13,16:18,,16:25,,16:29,16:33,…
Kurla,15:56,16:00,15:57,16:03,16:01,16:08,16:13,16:17,16:22,,16:29,16:34,16:33,16:37,16:35
Vidyavihar,15:59,16:03,…,16:06,…,16:11,16:16,16:20,16:25,,16:32,…,16:36,16:40,…
Ghatkopar,16:02,16:06,16:01,16:09,16:05,16:14,16:19,16:23,16:28,,16:35,…,16:39,16:43,16:39
Vikhroli,16:06,16:10,…,16:13,…,16:18,16:23,16:27,16:32,,16:39,16:41,16:43,16:47,…
Kanjur Marg,16:09,16:13,…,16:16,…,16:21,16:26,16:30,16:35,,16:42,…,16:46,16:50,…
Bhandup,16:12,16:16,…,16:19,16:13,16:24,16:29,16:33,16:38,,16:45,…,16:49,16:53,…
Nahur,16:15,16:19,…,16:22,…,16:27,16:32,16:36,16:41,,16:48,…,16:52,16:56,…
Mulund,16:18,16:22,16:12,16:26,…,16:30,16:35,16:39,16:44,,16:51,…,16:55,16:59,…
Thane,16:24,16:27,16:16,16:31,16:20,16:36,16:41,16:45,16:50,16:50,16:56,16:50,17:00,17:05,16:53
Kalva,,16:32,…,16:36,…,16:41,16:46,16:50,,16:55,17:01,…,17:05,,…
Mumbra,,16:38,…,16:42,…,16:47,16:52,16:56,,17:01,17:07,…,17:11,,…
Diva,,16:42,16:27,16:46,…,16:51,16:56,17:00,,17:05,17:11,…,17:15,,…
Kopar,,16:47,…,16:51,…,16:56,17:01,17:05,,17:10,17:16,…,17:20,,…
Dombivli,,16:51,16:32,16:54,16:36,16:59,17:05,17:08,,17:13,17:20,17:05,17:23,,17:09
Thakurli,,16:55,…,16:58,…,17:03,,17:12,,17:17,,…,17:27,,…
Kalyan,,17:02,16:42,17:05,16:46,17:10,,17:18,,17:24,,17:12,17:33,,17:19
Vithalwadi,,,16:47,,16:51,,,,,17:28,,17:16,,,
Ulhas Nagar,,,16:50,,16:54,,,,,17:31,,17:19,,,
Ambernath,,,16:54,,16:58,,,,,17:37,,17:24,,,
Badlapur,,,17:03,,17:08,,,,,,,,,,
Vangani,,,17:12,,,,,,,,,,,,
Shelu,,,17:16,,,,,,,,,,,,
Neral,,,17:20,,,,,,,,,,,,
Bhivpuri Road,,,17:27,,,,,,,,,,,,
Karjat,,,17:37,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,17:06,,,,17:14,,,,,,,,,
Ambivli,,17:09,,,,17:17,,,,,,,,,
Titwala,,17:15,,,,17:25,,,,,,,,,
Khadavli,,17:22,,,,,,,,,,,,,
Vasind,,17:29,,,,,,,,,,,,,
Asangaon,,17:37,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,
Stations,96327 A 43,95509 AN 19,97385 T 89,96639 TL 41,95127 S 31,97107 CK 15,97109 TK 5,97387 T 91,97239 DL 35,97389 T 93,97629 C 29,97111 CK 17,95235 BL 33,97113 K 85,95415 N 23
,,,,,,,,X,,,,X,,,
CSMT,16:13,16:17,16:17,16:21,16:30,,,16:30,16:34,16:38,16:43,,16:42,16:48,16:50
Masjid,16:16,…,16:20,16:24,…,,,16:33,16:37,16:41,16:46,,…,16:51,…
Sandhurst Road,16:18,…,16:22,16:26,…,,,16:35,16:39,16:43,16:48,,…,16:53,…
Byculla,16:21,16:25,16:25,16:29,16:37,,,16:38,16:42,16:46,16:51,,16:49,16:56,16:57
Chinchpokli,16:23,…,16:27,16:31,…,,,16:40,16:44,16:48,16:53,,…,16:58,…
Currey Road,16:25,…,16:29,16:33,…,,,16:42,16:46,16:50,16:55,,…,17:00,…
Parel,16:28,…,16:32,16:36,…,,,16:45,16:49,16:53,16:58,,…,17:03,…
Dadar,16:31,16:31,16:35,16:39,16:43,,,16:48,16:52,16:56,17:01,,16:55,17:06,17:04
Matunga,16:34,…,16:38,16:42,…,,,16:51,16:55,16:59,17:04,,…,17:09,…
Sion,16:37,…,16:41,16:45,…,,,16:54,16:58,17:02,17:07,,…,17:12,…
Kurla,16:41,16:38,16:45,16:49,16:50,16:54,,16:58,17:02,17:06,17:11,,17:02,17:16,17:11
Vidyavihar,16:44,…,16:48,16:52,…,16:58,,17:01,17:05,17:09,,17:15,…,17:19,…
Ghatkopar,16:47,16:42,16:51,16:55,16:54,17:01,,17:04,17:08,17:12,,17:18,17:07,17:22,17:15
Vikhroli,16:51,…,16:55,16:59,…,17:05,,17:08,17:12,17:16,,17:22,…,17:26,…
Kanjur Marg,16:54,…,16:58,17:02,…,17:08,,17:11,17:15,17:19,,17:25,…,17:29,…
Bhandup,16:57,…,17:01,17:05,…,17:11,,17:14,17:18,17:22,,17:28,…,17:32,…
Nahur,17:00,…,17:04,17:08,…,17:14,,17:17,17:21,17:25,,17:31,…,17:35,…
Mulund,17:03,…,17:08,17:12,17:06,17:17,,17:20,17:24,17:28,,17:34,…,17:38,…
Thane,17:08,16:56,17:15,17:18,17:10,17:22,17:25,17:26,17:29,17:35,,17:40,17:23,17:44,17:31
Kalva,17:13,…,,17:23,…,17:27,17:30,,17:34,,,17:45,…,17:49,17:37
Mumbra,17:19,…,,17:29,…,17:33,17:36,,17:40,,,17:51,…,17:55,17:43
Diva,17:23,17:08,,17:33,…,17:37,17:40,,17:44,,,17:55,17:34,17:59,17:47
Kopar,17:28,…,,17:38,…,17:42,17:45,,17:49,,,18:00,…,18:04,17:52
Dombivli,17:31,17:15,,17:41,17:25,17:45,17:48,,17:52,,,18:04,17:39,18:08,17:56
Thakurli,17:35,…,,17:45,…,17:49,17:52,,,,,18:08,…,18:12,18:00
Kalyan,17:41,17:29,,17:51,17:34,17:55,17:58,,,,,18:14,17:46,18:18,18:07
Vithalwadi,17:45,,,,17:38,,,,,,,,17:50,,
Ulhas Nagar,17:48,,,,17:41,,,,,,,,17:53,,
Ambernath,17:55,,,,17:45,,,,,,,,17:58,,
Badlapur,,,,,17:52,,,,,,,,18:06,,
Vangani,,,,,18:00,,,,,,,,,,
Shelu,,,,,18:04,,,,,,,,,,
Neral,,,,,18:08,,,,,,,,,,
Bhivpuri Road,,,,,18:15,,,,,,,,,,
Karjat,,,,,18:24,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,17:34,,17:55,,,,,,,,,,,18:12
Ambivli,,17:37,,17:58,,,,,,,,,,,18:15
Titwala,,17:43,,18:06,,,,,,,,,,,18:21
Khadavli,,17:50,,,,,,,,,,,,,18:28
Vasind,,17:57,,,,,,,,,,,,,18:35
Asangaon,,18:06,,,,,,,,,,,,,18:41
Atgaon,,,,,,,,,,,,,,,18:50
Khardi,,,,,,,,,,,,,,,19:00
Kasara,,,,,,,,,,,,,,,19:18
Stations,97391 T 95 X,95321 A 45,96111 TS 7,97241 PDL 7,97115 CK 19,97117 K 87,97393 T 97,97119 DL 37 X,97395 T 99,95725 DK 9 15 C X,97121 K 89,95511 AN 21,95237 BL 35,97123 PK 19,97397 T 101 X
CSMT,16:52,17:00,,,,17:00,17:04,17:08,17:12,,17:16,17:19,17:22,,17:24
Masjid,16:55,…,,,,17:03,17:07,17:11,17:15,,17:19,…,…,,17:27
Sandhurst Road,16:57,…,,,,17:05,17:09,17:13,17:17,,17:21,…,…,,17:29
Byculla,17:00,…,,,,17:08,17:12,17:16,17:20,,17:24,17:28,17:30,,17:32
Chinchpokli,17:02,…,,,,17:10,17:14,17:18,17:22,,17:26,…,…,,17:34
Currey Road,17:04,…,,,,17:12,17:16,17:20,17:24,,17:28,…,…,,17:36
Parel,17:07,…,,17:10,,17:15,17:19,17:23,17:27,,17:31,…,…,17:35,17:39
Dadar,17:10,17:12,,17:13,,17:19,17:22,17:26,17:30,17:30,17:34,17:34,17:37,17:38,17:42
Matunga,17:13,…,,17:17,,17:23,17:26,17:30,17:33,…,17:37,…,…,17:41,17:45
Sion,17:16,…,,17:20,,17:26,17:29,17:33,17:36,…,17:40,…,…,17:44,17:48
Kurla,17:20,…,,17:24,,17:30,17:33,17:37,17:40,17:37,17:44,17:41,17:44,17:48,17:52
Vidyavihar,17:23,…,,17:27,17:30,17:33,17:36,17:40,17:43,…,17:47,…,…,17:51,17:55
Ghatkopar,17:26,,,17:30,17:33,17:36,17:39,17:43,17:46,17:41,17:50,17:45,…,17:54,17:58
Vikhroli,17:30,…,,17:34,17:37,17:40,17:43,17:47,17:50,…,17:54,…,17:52,17:58,18:02
Kanjur Marg,17:33,…,,17:37,17:40,17:43,17:46,17:50,17:53,…,17:57,…,…,18:01,18:05
Bhandup,17:36,…,,17:40,17:43,17:46,17:49,17:53,17:56,…,18:00,…,…,18:04,18:08
Nahur,17:39,…,,17:43,17:46,17:49,17:52,17:56,17:59,…,18:03,…,…,18:07,18:11
Mulund,17:42,…,,17:46,17:49,17:52,17:55,17:59,18:02,17:53,18:06,…,…,18:10,18:14
Thane,17:48,17:35,17:48,17:52,17:55,17:58,18:00,18:05,18:08,17:57,18:12,18:01,18:04,18:15,18:20
Kalva,,17:41,17:53,17:57,18:00,18:03,,18:10,,…,18:17,…,…,18:20,
Mumbra,,17:47,17:59,18:03,18:06,18:09,,18:16,,…,18:23,…,…,18:26,
Diva,,17:51,18:03,18:07,18:10,18:13,,18:20,,…,18:27,18:11,…,18:30,
